"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","sno(s)RNA-containing ribonucleoprotein complex","GO:0005732","true","0.03405165573422549","1.4678617660197688","35","604","11","6560","YOR243C,YEL026W,YNL147W,YKL099C,YHR062C,YPR137W,YDR378C,YAL033W,YDR478W,YMR265C,YHR089C"
"GO:CC","nuclear lumen","GO:0031981","true","0.03410409161490538","1.4671935137002854","684","604","90","6560","YPL192C,YER179W,YGR142W,YDL175C,YDR446W,YKL018W,YML041C,YDR364C,YOR141C,YBR228W,YML043C,YKL108W,YNR004W,YHR079C-A,YJL030W,YPR143W,YJL194W,YPL086C,YBR247C,YHR170W,YOR243C,YHR197W,YOR272W,YNL113W,YPL129W,YGL111W,YBR281C,YMR263W,YOR294W,YPR162C,YPL157W,YEL026W,YPL043W,YBR278W,YNL147W,YGL112C,YLR409C,YER006W,YDL148C,YNL097C,YHR070W,YOR229W,YKL143W,YBR195C,YBL024W,YIL106W,YNL215W,YGL150C,YKR062W,YKL099C,YHR062C,YHR119W,YHR169W,YDL060W,YGR200C,YJR006W,YKL082C,YLR418C,YPR137W,YDR378C,YNL248C,YKL045W,YJL072C,YHL020C,YAL033W,YNL110C,YMR290C,YPL122C,YHL039W,YPL211W,YDR478W,YDR398W,YHR066W,YKL009W,YNL261W,YCR086W,YHR196W,YBR103W,YHR089C,YDR145W,YDL007W,YFR027W,YNL151C,YNL022C,YDL156W,YPL208W,YDR106W,YIL019W,YLR052W,YPR144C"
"WP","Cell cycle and cell division","WP:WP414","false","0.004943789541835076","2.30594002553355","105","64","19","810","YKL022C,YMR036C,YJL030W,YOL001W,YJL194W,YJL013C,YDL056W,YLR182W,YPR162C,YNL172W,YPR120C,YGR108W,YDR146C,YIL106W,YOR249C,YPL022W,YNL261W,YBR274W,YBR133C"
"HP","Muscle fiber atrophy","HP:0100295","false","0.01208942557749175","1.917594333916085","50","132","16","1312","Q0070,YKR023W,YBL111C,YFL066C,YLL067C,YLR462W,YBL113C,YJL225C,YLL066C,YGL097W,YIL177C,YBL032W,YLR467W,YGR009C,YML133C,YER024W"
"HP","Fever","HP:0001945","false","0.012225869430587575","1.9127202466844786","152","132","32","1312","Q0120,YKL151C,Q0070,YLL053C,YBL111C,YFL066C,YLL067C,YLR462W,YBL113C,YJL225C,YKR026C,YLL066C,YBR187W,YPR120C,YBR235W,YGR108W,YPR119W,YIL177C,YBL032W,YPL022W,YLR375W,YOR005C,YLR020C,YLR467W,YML123C,YDL048C,YPR192W,YOR181W,YML133C,YBR103W,YER024W,YGR083C"
"HP","Unexplained fevers","HP:0001955","false","0.019758260293638277","1.7042512975082467","36","132","13","1312","YLL053C,YBL111C,YFL066C,YLL067C,YLR462W,YBL113C,YJL225C,YLL066C,YBR187W,YIL177C,YLR467W,YPR192W,YML133C"
"HP","Abnormal reproductive system morphology","HP:0012243","false","0.027141360503510167","1.5663683864346474","476","132","70","1312","YNL270C,YAL060W,YDR376W,Q0120,YLR205C,YDL024C,YDL190C,YKR023W,YER140W,YDR097C,YJL030W,YBL111C,YFL066C,YLL067C,YLR462W,YBL113C,YNL009W,YJL194W,YJL013C,YNL183C,YBR265W,YJL225C,YOR272W,YGR057C,YNL113W,YLL066C,YJL198W,YPR162C,YNL172W,YPR120C,YDR456W,YDL070W,YHR072W,YGL112C,YGR108W,YPR119W,YCL025C,YGL097W,YIL177C,YBL032W,YBL024W,YNL082W,YBR243C,YGL197W,YJR155W,YPL022W,YLR375W,YKR062W,YOR005C,YLR467W,YLR418C,YOR244W,YJR110W,YDL048C,YPL175W,YBR068C,YKR036C,YER016W,YML133C,YBR103W,YBR002C,YBR073W,YKL141W,YDL007W,YFR027W,YLR305C,YDL065C,YOR250C,YOR306C,YGR208W"
"HP","Abnormality of the genital system","HP:0000078","false","0.0324917893744714","1.4882263707091845","574","132","80","1312","YNL270C,YAL060W,YDR376W,Q0120,YLR205C,Q0070,YDL024C,YLR081W,YDL190C,YKR023W,YER140W,YDR097C,YJL030W,YBL111C,YFL066C,YLL067C,YLR462W,YBL113C,YNL009W,YJL194W,YJL013C,YNL183C,YBR265W,YJR099W,YJL225C,YOR272W,YGR057C,YKR026C,YNL113W,YLL066C,YJL198W,YPR162C,YNL172W,YPR120C,YDR456W,YDL070W,YGR292W,YHR072W,YGL112C,YGR108W,YPR119W,YCL025C,YGL097W,YIL172C,YIL177C,YBL032W,YBL024W,YNL082W,YBR243C,YGL197W,YJR155W,YPL022W,YLR375W,YKR062W,YOR005C,YLR467W,YLR418C,YOR244W,YJR110W,YDL048C,YPL175W,YBR068C,YKR036C,YER016W,YOR181W,YGR009C,YML133C,YBR103W,YBR002C,YBR073W,YKL141W,YDL007W,YFR027W,YLR305C,YDL065C,YOR090C,YOR250C,YGR083C,YOR306C,YGR208W"
